Day,"1,417","1,784","2,439",1695.9,1490,,,Day of week,Notes,,206
,FX 7.5,BB,BMC,S2016,S2017,FX 7.7,Other,,1302,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
12/27/2017,,,,10.9,,,,Wednesday,,175,
12/25/2017,,,,,15.3,,,Monday,,174,
12/21/2017,,,,,13,,,Thursday,,173,
12/20/2017,,,,,13.2,,,Wednesday,,172,
12/19/2017,,,,,11.9,,,Tuesday,,171,
12/18/2017,,,,,13.1,,,Monday,,170,
12/17/2017,,,,,23,,,Sunday,,169,
12/8/2017,,,,,14.1,,,Friday,,168,
12/7/2017,,,,,15.5,,,Thursday,,167,
12/6/2017,,,,,17.5,,,Wednesday,,166,
12/3/2017,,,,17.5,,,,Sunday,,165,
12/1/2017,,,,,11.5,,,Friday,,164,
11/27/2017,,,,9.7,,,,Monday,,163,
11/24/2017,,,,,17.1,,,Friday,,162,
11/22/2017,,,,,18,,,Wednesday,,161,
11/21/2017,,,,16.5,,,,Tuesday,,160,
11/20/2017,,,,12.6,,,,Monday,,159,
11/17/2017,,,,12.3,,,,Friday,,158,
11/15/2017,,,,,19,,,Wednesday,,157,
11/13/2017,,,,11.7,,,,Monday,,156,
11/11/2017,,,,12.3,,,,Saturday,,155,
11/10/2017,,,,,15.5,,,Friday,,154,
11/7/2017,,,,11.7,,,,Tuesday,,153,
11/5/2017,,,,12.6,,,,Sunday,,152,
11/1/2017,,,,,12.5,,,Wednesday,,151,
10/31/2017,,,,,14.3,,,Tuesday,,150,
10/30/2017,,,,,15.5,,,Monday,,149,
10/27/2017,,,,16.2,,,,Friday,,148,
10/25/2017,,,,10.3,,,,Wednesday,,147,
10/24/2017,,,,16.2,,,,Tuesday,,146,
10/23/2017,,,,12,,,,Monday,,145,
10/21/2017,,,,,17.9,,,Saturday,,144,
10/19/2017,,,,,10.5,,,Thursday,,143,
10/18/2017,,,,11.9,,,,Wednesday,,142,
10/17/2017,,,,10.5,,,,Tuesday,,141,
10/16/2017,,,,12.9,,,,Monday,,140,
10/15/2017,,,,11.9,,,,Sunday,,139,
10/4/2017,,,,,14.9,,,Wednesday,,138,
10/3/2017,,,,,10.5,,,Tuesday,,137,
10/2/2017,,,,,15,,,Monday,,136,
9/30/2017,,,,,15.5,,,Saturday,,135,
9/29/2017,,,,,16,,,Friday,,134,
9/19/2017,,,,,12.4,,,Tuesday,,133,
9/18/2017,,,,,16,,,Monday,,132,
9/17/2017,,,,,19.1,,,Sunday,,131,
9/14/2017,,,,,11.6,,,Thursday,,130,
9/13/2017,,,,,11.2,,,Wednesday,,129,
9/11/2017,,,,12,,,,Monday,,128,
9/9/2017,,,,,12.3,,,Saturday,,127,
9/8/2017,,,,,15.5,,,Friday,,126,
9/7/2017,,,,,14.7,,,Thursday,,125,
9/6/2017,,,,11.2,,,,Wednesday,,124,
9/5/2017,,,,16.2,,,,Tuesday,,123,
9/4/2017,,,,12,,,,Monday,,122,
9/1/2017,,,,12.1,,,,Friday,,121,
8/31/2017,,,,11.4,,,,Thursday,,120,
8/24/2017,,,,,12.6,,,Thursday,,119,
8/23/2017,,,,,17.6,,,Wednesday,,118,
8/22/2017,,,,14.3,,,,Tuesday,,117,
8/21/2017,,,,12.6,,,,Monday,,116,
8/18/2017,,,,,15.2,,,Friday,,115,
8/17/2017,,,,,11.5,,,Thursday,,114,
8/16/2017,,,,,15,,,Wednesday,,113,
8/15/2017,,,,16.2,,,,Tuesday,,112,
8/13/2017,,,,10.6,,,,Sunday,,111,
8/11/2017,,,,11.3,,,,Friday,,110,
8/10/2017,,,,,14.6,,,Thursday,,109,
8/8/2017,,,,11.2,,,,Tuesday,,108,
8/7/2017,,,,11.5,,,,Monday,,107,
8/4/2017,,,,,20.4,,,Friday,,106,
8/3/2017,,,,,15.4,,,Thursday,,105,
8/2/2017,,,,,16.2,,,Wednesday,,104,
8/1/2017,,,,,16.2,,,Tuesday,,103,
7/30/2017,,,,,15.1,,,Sunday,,102,
7/28/2017,,,,12.7,,,,Friday,,101,
7/24/2017,,,,,15.3,,,Monday,,100,
7/23/2017,,,,,6,,,Sunday,,99,
7/22/2017,,,,,15.3,,,Saturday,,98,
7/21/2017,,,,,18.2,,,Friday,,97,
7/20/2017,,,,,12.6,,,Thursday,,96,
7/19/2017,,,,11,,,,Wednesday,,95,
7/17/2017,,,,10.8,,,,Monday,,94,
7/15/2017,,,,,20.2,,,Saturday,,93,
7/14/2017,,,,,21.2,,,Friday,,92,
7/13/2017,,,,,15.3,,,Thursday,,91,
7/12/2017,,,,10.5,,,,Wednesday,,90,
7/10/2017,,,,10.8,,,,Monday,,89,
7/9/2017,,,,,20.2,,,Sunday,,88,
7/8/2017,,,,,31.3,,,Saturday,,87,
7/6/2017,,,,,15.2,,,Thursday,,86,
7/5/2017,,,,14.6,,,,Wednesday,,85,
7/2/2017,,,,12,,,,Sunday,,84,
6/30/2017,,,,,15.2,,,Friday,,83,
6/28/2017,,,,13.5,,,,Wednesday,,82,
6/26/2017,,,,6.2,,,,Monday,,81,
6/25/2017,,,,13.2,,,,Sunday,,80,
6/23/2017,,,,,15.1,,,Friday,,79,
6/22/2017,,,,,13.4,,,Thursday,,78,
6/21/2017,,,,12.6,,,,Wednesday,,77,
6/20/2017,,,,,12.6,,,Tuesday,,76,
6/19/2017,,,,,14.6,,,Monday,,75,
6/18/2017,,,,,13.3,,,Sunday,,74,
6/15/2017,,,,,25.5,,,Thursday,San Diego,73,
6/12/2017,,,,,19.8,,,Monday,San Diego,72,
6/9/2017,,,,,20.4,,,Friday,San Diego,71,
6/8/2017,,,,,10.4,,,Thursday,San Diego,70,
6/6/2017,,,,,20.4,,,Tuesday,San Diego,69,
6/2/2017,,,,,16.4,,,Friday,San Diego,68,
5/31/2017,,,,,19,,,Wednesday,San Diego,67,
5/26/2017,,,,,14.3,,,Friday,San Diego,66,
5/24/2017,,,,,14.2,,,Wednesday,San Diego,65,
5/22/2017,,,,,15,,,Monday,San Diego,64,
5/19/2017,,,,,22,,,Friday,San Diego,63,
5/18/2017,,,,,9.8,,,Thursday,San Diego,62,
5/17/2017,,,,,17,,,Wednesday,San Diego,61,
5/15/2017,,,,,14.7,,,Monday,San Diego,60,
5/12/2017,,,,,15.3,,,Friday,,59,
5/10/2017,,,,,15.1,,,Wednesday,,58,
5/9/2017,,,,,10,,,Tuesday,,57,
5/8/2017,,,,,12.3,,,Monday,,56,
5/7/2017,,,,,15.7,,,Sunday,,55,
5/5/2017,,,,,18.4,,,Friday,,54,
5/4/2017,,,,,12.5,,,Thursday,,53,
5/3/2017,,,,,20,,,Wednesday,,52,
5/2/2017,,,,12.3,,,,Tuesday,,51,
5/1/2017,,,,11.8,,,,Monday,,50,
4/30/2017,,,,13.5,,,,Sunday,,49,
4/28/2017,,,,,20.1,,,Friday,,48,
4/27/2017,,,,11.1,,,,Thursday,,47,
4/25/2017,,,,,15.7,,,Tuesday,,46,
4/23/2017,,,,,15.5,,,Sunday,,45,
4/22/2017,,,,10.1,,,,Saturday,,44,
4/21/2017,,,,15.1,,,,Friday,,43,
4/15/2017,,,,,14.8,,,Saturday,,42,
4/14/2017,,,,,15.1,,,Friday,,41,
4/10/2017,,,,10.9,,,,Monday,,40,
4/5/2017,,,,,17.4,,,Wednesday,,39,
4/4/2017,,,,,13.4,,,Tuesday,,38,
4/3/2017,,,,,14,,,Monday,,37,
4/2/2017,,,,,12.3,,,Sunday,,36,
3/29/2017,,,,,16.9,,,Wednesday,,35,
3/28/2017,,,,,15.5,,,Tuesday,,34,
3/27/2017,,,,,14.7,,,Monday,,33,
3/23/2017,,,,,14.2,,,Thursday,,32,
3/22/2017,,,,12,,,,Wednesday,,31,
3/17/2017,,,,15,,,,Friday,,30,
3/15/2017,,,,,14.3,,,Wednesday,,29,
